n01729322 	 harmless North American snake with upturned nose
n01729977 	 either of two North American chiefly insectivorous snakes that are green in color
n01734418 	 any of numerous nonvenomous North American constrictors
n01735189 	 any of numerous nonvenomous longitudinally-striped viviparous North American and Central American snakes
n01737021 	 any of various mostly harmless snakes that live in or near water
n01739381 	 slender arboreal snake found from southern Arizona to Bolivia
n01740131 	 nocturnal prowler of western United States and Mexico
n01742172 	 very large boa of tropical America and West Indies
n01744401 	 very large python of tropical and southern Africa
n01748264 	 a cobra of tropical Africa and Asia
n01749939 	 green phase of the black mamba
n01751748 	 any of numerous venomous aquatic viviparous snakes having a fin-like tail
n01753488 	 highly venomous viper of northern Africa and southwestern Asia having a horny spine above each eye
n01755581 	 large deadly rattlesnake with diamond-shaped markings
n01756291 	 small pale-colored desert rattlesnake of southwestern United States
n01768244 	 an extinct arthropod that was abundant in Paleozoic times
n01770081 	 spiderlike arachnid with a small rounded body and very long thin legs
n01770393 	 arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
n01773157 	 a widely distributed North American garden spider
n01773549 	 an orange and tan spider with darkly banded legs that spins an orb web daily
n01773797 	 a spider common in European gardens
n01774384 	 venomous New World spider
n01774750 	 large hairy tropical spider with fangs that can inflict painful but not highly venomous bites
n01775062 	 ground spider that hunts its prey instead of using a web
n01776313 	 any of two families of small parasitic arachnids with barbed proboscis
n01784675 	 chiefly nocturnal predacious arthropod having a flattened body of 15 to 173 segments each with a pair of legs, the foremost pair being modified as prehensors
n01795545 	 grouse of which the male is bluish-black
n01796340 	 large Arctic and subarctic grouse with feathered feet and usually white winter plumage
n01797886 	 valued as a game bird in eastern United States and Canada
n01798484 	 brown mottled North American grouse of western prairies
n01806143 	 male peafowl
n01806567 	 small gallinaceous game birds
n01807496 	 small Old World gallinaceous game birds
n01817953 	 commonly domesticated grey parrot with red-and-black tail and white face
n01818515 	 long-tailed brilliantly colored parrot of Central America and South America
n01819313 	 white cockatoo with a yellow erectile crest
n01820546 	 any of various small lories
n01824575 	 Old World ground-living cuckoo having a long dagger-like hind claw
n01828970 	 colorful chiefly tropical Old World bird having a strong graceful flight
n01829413 	 bird of tropical Africa and Asia having a very large bill surmounted by a bony protuberance
n01833805 	 tiny American bird having brilliant iridescent plumage and long slender bills
n01843065 	 tropical American insectivorous bird having a long sharp bill and iridescent green or bronze plumage
n01843383 	 brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak
n01847000 	 adult male of a wild or domestic duck
n01855032 	 widely distributed merganser of America and Europe
n01855672 	 web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
n01860187 	 large Australian swan having black plumage and a red bill
n01871265 	 any mammal with prominent tusks (especially an elephant or wild boar)
n01872401 	 a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites
n01873310 	 small densely furred aquatic monotreme of Australia and Tasmania having a broad bill and tail and webbed feet
n01877812 	 any of various small or medium-sized kangaroos
n01882714 	 sluggish tailless Australian arboreal marsupial with grey furry ears and coat
n01883070 	 burrowing herbivorous Australian marsupials about the size of a badger
n01910747 	 any of numerous usually marine and free-swimming coelenterates that constitute the sexually reproductive forms of hydrozoans and scyphozoans
n01914609 	 marine polyps that resemble flowers but have oral rings of tentacles
n01917289 	 massive reef-building coral having a convoluted and furrowed surface
n01924916 	 parasitic or free-living worms having a flattened body
n01930112 	 unsegmented worms with elongated rounded body pointed at both ends
n01943899 	 any of various edible tropical marine gastropods of the genus Strombus having a brightly-colored spiral shell with large outer lip
n01944390 	 freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
n01945685 	 any of various terrestrial gastropods having an elongated slimy body and no external shell
n01950731 	 any of various marine gastropods of the suborder Nudibranchia having a shell-less and often beautifully colored body
n01955084 	 primitive elongated bilaterally symmetrical marine mollusk having a mantle covered with eight calcareous plates
n01968897 	 cephalopod of the Indian and Pacific oceans having a spiral shell with pale pearly partitions
n01978287 	 small edible crab of Pacific coast of North America
n01978455 	 crab of eastern coast of North America
n01980166 	 burrowing crab of American coastal regions having one claw much enlarged in the male
n01981276 	 large edible crab of northern Pacific waters especially along the coasts of Alaska and Japan
n01983481 	 lobster of Atlantic coast of America
n01984695 	 large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters
n01985128 	 small freshwater decapod crustacean that resembles a lobster
n01986214 	 small soft-bodied marine crustaceans living in cast-off shells of gastropods
n01990800 	 any of various small terrestrial or aquatic crustaceans with seven pairs of legs adapted for crawling
n02002556 	 the common stork of Europe
n02002724 	 Old World stork that is glossy black above and white below
n02006656 	 wading birds having a long flat bill with a tip like a spoon
n02007558 	 large pink to scarlet web-footed wading bird with down-bent bill
n02009229 	 small bluish-grey heron of the western hemisphere
n02009912 	 a common egret of the genus Egretta found in America
n02011460 	 relatively small compact tawny-brown heron with nocturnal habits and a booming cry
n02012849 	 large long-necked wading bird of marshes and plains in many parts of the world
n02013706 	 wading bird of Florida, Cuba and Jamaica having a drooping bill and a distinctive wailing call
n02017213 	 purple gallinule of southern Europe
n02018207 	 a coot found in North America
n02018795 	 large heavy-bodied chiefly terrestrial game bird capable of powerful swift flight
n02025239 	 common Arctic turnstone that winters in South America and Australia
n02027492 	 small common sandpiper that breeds in northern or Arctic regions and winters in southern United States or Mediterranean regions
n02028035 	 a common Old World wading bird with long red legs
n02033041 	 shorebird of the sandpiper family that resembles a snipe
n02037110 	 black-and-white shorebird with stout legs and bill
n02051845 	 large long-winged warm-water seabird having a large bill with a distensible pouch for fish
n02056570 	 large penguin on islands bordering the Antarctic Circle
n02058221 	 large web-footed birds of the southern hemisphere having long narrow wings
n02066245 	 medium-sized greyish-black whale of the northern Pacific
n02071294 	 predatory black-and-white toothed whale with large dorsal fin
n02074367 	 sirenian tusked mammal found from eastern Africa to Australia
n02077923 	 any of several large eared seals of the northern Pacific related to fur seals but lacking their valuable coat
n02085620 	 an old breed of tiny short-haired dog with protruding eyes from Mexico held to antedate Aztec civilization
n02085782 	 breed of toy dogs originating in Japan having a silky black-and-white or red-and-white coat
n02085936 	 breed of toy dogs having a long straight silky white coat
n02086079 	 a Chinese breed of small short-legged dogs with a long silky coat and broad flat muzzle
n02086240 	 a Chinese breed of small dog similar to a Pekingese
n02086646 	 red-and-white variety of English toy spaniel
n02086910 	 small slender toy spaniel with erect ears and a black-spotted brown to white coat
n02087046 	 a small active dog
n02087394 	 a powerful short-haired African hunting dog having a crest of reversed hair along the spine
n02088094 	 tall graceful breed of hound with a long silky coat
n02088238 	 smooth-haired breed of hound with short legs and long ears
n02088364 	 a small short-legged smooth-coated breed of hound
n02088466 	 a breed of large powerful hound of European origin having very acute smell and used in tracking
n02088632 	 a very fast American hound
n02089078 	 American breed of large powerful hound dogs used for hunting raccoons and other game
n02089867 	 an American breed of foxhound
n02089973 	 an English breed slightly larger than the American foxhounds originally used to hunt in packs
n02090379 	 a speedy red or red-and-tan American hound
n02090622 	 tall fast-moving dog breed
n02090721 	 large breed of hound with a rough thick coat
n02091032 	 a toy dog developed from the greyhound
n02091134 	 small slender dog of greyhound type developed in England
n02091244 	 breed of slender agile medium-sized hound found chiefly in the Balearic Islands
n02091467 	 breed of compact medium-sized dog with a heavy grey coat developed in Norway for hunting elk
n02091635 	 hardy British hound having long pendulous ears and a thick coarse shaggy coat with an oily undercoat
n02091831 	 old breed of tall swift keen-eyed hunting dogs resembling greyhounds
n02092002 	 very large and tall rough-coated dog bred for hunting deer
n02092339 	 large breed of hound having a smooth greyish coat
n02093256 	 English breed of strong stocky dog having a broad skull and smooth coat
n02093428 	 American breed of muscular terriers with a short close-lying stiff coat
n02093647 	 a light terrier groomed to resemble a lamb
n02093754 	 small rough-coated terrier of British origin
n02093859 	 an Irish breed of medium-sized terriers with a silky blue-grey coat
n02093991 	 medium-sized breed with a wiry brown coat
n02094114 	 English breed of small terrier with a straight wiry grizzled coat and dropped ears
n02094258 	 English breed of small short-legged terrier with a straight wiry red or grey or black-and-tan coat and erect ears
n02094433 	 very small breed having a long glossy coat of bluish-grey and tan
n02095314 	 a fox terrier with wiry hair
n02095570 	 breed of wire-haired terrier originally from the Lake District of England and used for hunting
n02095889 	 a wire-haired terrier with short legs that was first bred in Sealyham
n02096051 	 breed of large wiry-coated terrier bred in Yorkshire
n02096177 	 small rough-haired breed of terrier from Scotland
n02096294 	 small greyish wire-haired breed of terrier from Australia similar to the cairn
n02096437 	 a breed of small terrier with long wiry coat and drooping ears
n02096585 	 small pug-faced American terrier breed having a smooth brindle or black coat with white markings
n02097047 	 a small schnauzer
n02097130 	 a large schnauzer
n02097209 	 a medium-sized schnauzer
n02097298 	 old Scottish breed of small long-haired usually black terrier with erect tail and ears
n02097474 	 breed of medium-sized terriers bred in Tibet resembling Old English sheepdogs with fluffy curled tails
n02097658 	 Australian breed of toy dogs having a silky blue coat
n02098105 	 Irish breed of medium-sized terrier with an abundant coat any shade of wheat and very hairy head and muzzle
n02098286 	 small white long-coated terrier developed in Scotland
n02098413 	 a breed of terrier having a long heavy coat raised in Tibet as watchdogs
n02099267 	 an English breed having a shiny black or liver-colored coat
n02099429 	 an English breed having a tightly curled black or liver-colored coat
n02099601 	 an English breed having a long silky golden coat
n02099712 	 breed originally from Labrador having a short black or golden-brown coat
n02099849 	 American breed having a short thick oily coat ranging from brown to light tan
n02100236 	 liver or liver-and-white hunting dog developed in Germany
n02100583 	 Hungarian hunting dog resembling the Weimaraner but having a rich deep red coat
n02100735 	 an English breed having a plumed tail and a soft silky coat that is chiefly white
n02100877 	 an Irish breed with a chestnut-brown or mahogany-red coat
n02101006 	 a Scottish breed with a black-and-tan coat
n02101388 	 tall active short-tailed French breed of bird dog having a usually smooth orange- or liver-and-white coat
n02101556 	 a thickset spaniel with longish silky hair
n02102040 	 a breed having typically a black-and-white coat
n02102177 	 a red-and-white breed slightly smaller than the English springer spaniel
n02102318 	 a small breed with wavy silky hair
n02102480 	 an English breed with short legs and a golden liver-colored coat
n02102973 	 breed of large spaniels developed in Ireland having a heavy coat of liver-colored curls and a topknot of long curls and a nearly hairless tail
n02104029 	 long-established Hungarian breed of tall light-footed but sturdy white dog
n02104365 	 breed of small stocky black dogs originally used as watchdogs on boats in the Netherlands and Belgium
n02105056 	 black-coated sheepdog with a heavily plumed tail
n02105162 	 fawn-colored short-haired sheepdog
n02105251 	 old French breed of large strong usually black dogs having a long tail and long wavy and slightly stiff coat
n02105412 	 an Australian sheepdog with pointed ears
n02105505 	 Hungarian breed of large powerful shaggy-coated white dog
n02105641 	 large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail
n02105855 	 a small sheepdog resembling a collie that was developed in the Shetland Islands
n02106030 	 a silky-coated sheepdog with a long ruff and long narrow head developed in Scotland
n02106166 	 developed in the area between Scotland and England usually having a black coat with white on the head and tip of tail used for herding both sheep and cattle
n02106382 	 rough-coated breed used originally in Belgium for herding and guarding cattle
n02106550 	 German breed of large vigorous short-haired cattle dogs
n02106662 	 breed of large shepherd dogs used in police work and as a guide for the blind
n02107142 	 medium large breed of dog of German origin with a glossy black and tan coat
n02107312 	 small German version of a Doberman pinscher
n02107574 	 the largest of the four Swiss breeds
n02107683 	 large powerful long-haired black-coated Swiss dog with deep tan or russet markings on legs and white blaze and feet and chest marking
n02107908 	 a smaller of the four Swiss breeds
n02108000 	 the smallest of the Sennenhunde
n02108089 	 a breed of stocky medium-sized short-haired dog with a brindled coat and square-jawed muzzle developed in Germany
n02108422 	 large powerful breed developed by crossing the bulldog and the mastiff
n02108551 	 very large powerful rough-coated dog native to central Asia
n02108915 	 small stocky version of the bulldog having a sleek coat and square head
n02109047 	 very large powerful smooth-coated breed of dog
n02109525 	 a Swiss alpine breed of large powerful dog with a thick coat of hair used as a rescue dog
n02109961 	 breed of heavy-coated Arctic sled dog
n02110063 	 breed of sled dog developed in Alaska
n02110185 	 breed of sled dog developed in northeastern Siberia
n02110341 	 a large breed having a smooth white coat with black or brown spots
n02110627 	 European breed of small dog resembling a terrier with dark wiry hair and a tufted muzzle
n02110806 	 small smooth-haired breed of African origin having a tightly curled tail and the inability to bark
n02110958 	 small compact smooth-coated breed of Asiatic origin having a tightly curled tail and broad flat wrinkled muzzle
n02111129 	 a large dog (usually with a golden coat) produced by crossing a St Bernard and a Newfoundland
n02111277 	 a breed of very large heavy dogs with a thick coarse usually black coat
n02111500 	 bred of large heavy-coated white dogs resembling the Newfoundland
n02111889 	 Siberian breed of white or cream-colored dog of the spitz family
n02112018 	 breed of very small compact long-haired dogs of the spitz type
n02112137 	 breed of medium-sized dogs with a thick coat and fluffy curled tails and distinctive blue-black tongues
n02112350 	 a spitz-like dog having a shaggy greyish coat and tightly curled tail originating in Holland
n02112706 	 a variety of Brussels griffon having a short smooth coat
n02113023 	 the smaller and straight-legged variety of corgi having pointed ears and a short tail
n02113186 	 slightly bowlegged variety of corgi having rounded ears and a long tail
n02113624 	 the breed of very small poodles
n02113712 	 a breed of small poodles
n02113799 	 a breed or medium-sized poodles
n02113978 	 any of an old breed of small nearly hairless dogs of Mexico
n02114367 	 a wolf with a brindled grey coat living in forested northern regions of North America
n02114548 	 wolf of Arctic North America having white fur and a black-tipped tail
n02114712 	 reddish-grey wolf of southwestern North America
n02114855 	 small wolf native to western North America
n02115641 	 wolflike yellowish-brown wild dog of Australia
n02115913 	 fierce wild dog of the forests of central and southeast Asia that hunts in packs
n02116738 	 a powerful doglike mammal of southern and eastern Africa that hunts in large packs
n02117135 	 doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion
n02119022 	 the common Old World fox
n02119789 	 small grey fox of southwestern United States
n02120079 	 thickly-furred fox of Arctic regions
n02120505 	 dark grey American fox
n02123045 	 a cat with a grey or tawny coat mottled with black
n02123159 	 a cat having a striped coat
n02123394 	 a long-haired breed of cat
n02123597 	 a slender short-haired blue-eyed breed of cat having a pale coat with dark ears paws face and tail tip
n02124075 	 a domestic cat of Egypt
n02125311 	 large American feline resembling a lion
n02127052 	 short-tailed wildcats with usually tufted ears
n02128385 	 large feline of African and Asian forests usually having a tawny coat with black spots
n02128757 	 large feline of upland central Asia having long thick whitish fur
n02128925 	 a large spotted feline of tropical America similar to the leopard
n02129165 	 large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
n02129604 	 large feline of forests in most of Asia having a tawny coat with black stripes
n02130308 	 long-legged spotted cat of Africa and southwestern Asia having nonretractile claws
n02132136 	 large ferocious bear of Eurasia
n02133161 	 brown to black North American bear
n02134084 	 white bear of Arctic regions
n02134418 	 common coarse-haired long-snouted bear of south-central Asia
n02137549 	 agile grizzled Old World viverrine
n02138441 	 a mongoose-like viverrine of South Africa having a face like a lemur and only four toes
n02165105 	 active usually bright-colored beetle that preys on other insects
n02165456 	 small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests
n02167151 	 predacious shining black or metallic terrestrial beetle that destroys many injurious insects
n02168699 	 long-bodied beetle having very long antennae
n02169497 	 brightly colored beetle that feeds on plant leaves
n02172182 	 any of numerous beetles that roll balls of dung on which they feed and in which they lay eggs
n02174001 	 any of various large chiefly tropical beetles having horns on the head
n02177972 	 any of several families of mostly small beetles that feed on plants and plant products
n02190166 	 two-winged insects characterized by active flight
n02206856 	 any of numerous hairy-bodied insects including social and solitary species
n02219486 	 social insect living in organized colonies
n02226429 	 terrestrial plant-eating insect with hind legs adapted for leaping
n02229544 	 leaping insect
n02231487 	 any of various mostly tropical insects having long twiglike bodies
n02233338 	 any of numerous chiefly nocturnal insects
n02236044 	 predacious long-bodied large-eyed insect of warm regions
n02256656 	 stout-bodied insect with large membranous wings
n02259212 	 small leaping insect that sucks the juices of plants
n02264363 	 any of two families of insects with gauzy wings (Chrysopidae and Hemerobiidae)
n02268443 	 slender-bodied non-stinging insect having iridescent wings that are outspread at rest
n02268853 	 slender non-stinging insect similar to but smaller than the dragonfly but having wings folded when at rest
n02276258 	 any of several brightly colored butterflies
n02277742 	 any of various butterflies belonging to the family Satyridae
n02279972 	 large migratory American butterfly having deep orange wings with black and white markings
n02280649 	 white butterfly whose larvae (cabbageworms) feed on cabbage
n02281406 	 any of numerous yellow or orange butterflies
n02281787 	 any of various butterflies of the family Lycaenidae
n02317335 	 echinoderms characterized by five arms extending from a central disk
n02319095 	 shallow-water echinoderms having soft bodies enclosed in thin spiny globular shells
n02321529 	 echinoderm having a flexible sausage-shaped body, tentacles surrounding the mouth and tube feet
n02325366 	 common small rabbit of North America having greyish or brownish fur and a tail with a white underside
n02326432 	 swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs
n02328150 	 domestic breed of rabbit with long white silky hair
n02342885 	 short-tailed Old World burrowing rodent with large cheek pouches
n02346627 	 relatively large rodents with sharp erectile bristles mingled with the fur
n02356798 	 exceptionally large arboreal squirrel of eastern United States
n02361337 	 stocky coarse-furred burrowing rodent with a short bushy tail found throughout the northern hemisphere
n02363005 	 large semiaquatic rodent with webbed hind feet and a broad flat tail
n02364673 	 stout-bodied nearly tailless domesticated cavy
n02389026 	 a horse of a brownish orange to light brown color
n02391049 	 any of several fleet black-and-white striped African equines
n02395406 	 domestic swine
n02396427 	 Old World wild swine having a narrow body and prominent tusks from which most domestic swine come
n02397096 	 African wild swine with warty protuberances on the face and large protruding tusks
n02398521 	 massive thick-skinned herbivorous animal living in or around rivers of tropical Africa
n02403003 	 an adult castrated bull of the genus Bos
n02408429 	 an Asian buffalo that is often domesticated for use as a draft animal
n02410509 	 any of several large humped bovids having shaggy manes and large heads and short horns
n02412080 	 uncastrated adult male sheep
n02415577 	 wild sheep of mountainous regions of western North America having massive curled horns
n02417914 	 wild goat of mountain areas of Eurasia and northern Africa having large recurved horns
n02422106 	 a large African antelope with lyre-shaped horns that curve backward
n02422699 	 African antelope with ridged curved horns
n02423022 	 small swift graceful antelope of Africa and Asia having lustrous eyes
n02437312 	 one-humped camel of the hot deserts of northern Africa and southwestern Asia
n02437616 	 wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump
n02441942 	 small carnivorous mammal with short legs and elongated body and neck
n02442845 	 slender-bodied semiaquatic mammal having partially webbed feet
n02443114 	 dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened
n02443484 	 musteline mammal of prairie regions of United States
n02444819 	 freshwater carnivorous mammal having webbed and clawed feet and dark brown fur
n02445715 	 American musteline mammal typically ejecting an intensely malodorous fluid when startled
n02447366 	 sturdy carnivorous burrowing mammal with strong claws
n02454379 	 burrowing chiefly nocturnal mammal with body covered with strong horny plates
n02457408 	 a sloth that has three long claws on each forefoot and each hindfoot
n02480495 	 large long-armed ape of Borneo and Sumatra having arboreal habits
n02480855 	 largest anthropoid ape
n02481823 	 intelligent somewhat arboreal ape of equatorial African forests
n02483362 	 smallest and most perfectly anthropoid arboreal ape having long arms and no tail
n02483708 	 large black gibbon of Sumatra having the 2nd and 3rd toes partially united by a web
n02484975 	 small slender African monkey having long hind limbs and tail and long hair around the face
n02486261 	 reddish long-tailed monkey of west Africa
n02486410 	 large terrestrial monkeys having doglike muzzles
n02487347 	 short-tailed monkey of rocky regions of Asia and Africa
n02488291 	 slender long-tailed monkey of Asia
n02488702 	 arboreal monkey of western and central Africa with long silky fur and reduced thumbs
n02489166 	 Borneo monkey having a long bulbous nose
n02490219 	 small soft-furred South American and Central American monkey with claws instead of nails
n02492035 	 monkey of Central America and South America having thick hair on the head that resembles a monk's cowl
n02492660 	 monkey of tropical South American forests having a loud howling cry
n02493509 	 small South American monkeys with long beautiful fur and long nonprehensile tail
n02493793 	 arboreal monkey of tropical America with long slender legs and long prehensile tail
n02494079 	 small long-tailed monkey of Central American and South America with greenish fur and black muzzle
n02497673 	 small lemur having its tail barred with black
n02500267 	 large short-tailed lemur of Madagascar having thick silky fur in black and white and fawn
n02504013 	 Asian elephant having smaller ears and tusks primarily in the male
n02504458 	 an elephant native to Africa having enormous flapping ears and ivory tusks
n02509815 	 reddish-brown Old World raccoon-like carnivore
n02510455 	 large black-and-white herbivorous mammal of bamboo forests of China and Tibet
n02514041 	 a large marine food fish common on the coasts of Australia, New Zealand, and southern Africa
n02526121 	 voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins
n02536864 	 small salmon of northern Pacific coasts and the Great Lakes
n02606052 	 gold and black butterflyfish found from West Indies to Brazil
n02607072 	 live associated with sea anemones
n02640242 	 large primitive fishes valued for their flesh and roe
n02641379 	 primitive predaceous North American fish covered with hard scales and having long jaws with needlelike teeth
n02643566 	 brightly striped fish of the tropical Pacific having elongated spiny fins
n02655020 	 any of numerous marine fishes whose elongated spiny body can inflate itself with water or air to form a globe
n02666196 	 a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
n02667093 	 (Arabic) a loose black robe from head to toe
n02669723 	 a gown worn by academics or judges
n02672831 	 a portable box-shaped free-reed instrument
n02676566 	 sound is not amplified by electrical means
n02687172 	 a large warship that carries planes and has a long flat deck for takeoffs and landings
n02690373 	 a commercial airplane that carries passengers
n02692877 	 a steerable self-propelled aircraft
n02699494 	 a raised structure on which gifts or sacrifices to a god are made
n02701002 	 a vehicle that takes people to and from hospitals
n02704792 	 a flat-bottomed motor vehicle that can travel on land or water
n02708093 	 a clock that displays the time of day by the position of hands on a dial
n02727426 	 a shed containing a number of beehives
n02730930 	 a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
n02747177 	 a bin that holds rubbish until it is collected
n02749479 	 any of the automatic rifles or semiautomatic rifles with large magazines designed for military use
n02769748 	 a bag carried by a strap on your back or shoulder
n02776631 	 a workplace where baked goods (breads and cakes and pastries) are produced or sold
n02777292 	 a gymnastic apparatus used by women gymnasts
n02782093 	 large tough nonrigid bag filled with gas or heated air
n02783161 	 a pen that has a small metal ball as the point of transfer of ink to paper
n02786058 	 trade name for an adhesive bandage to cover small cuts or blisters
n02787622 	 a stringed instrument of the guitar family that has long neck and circular body
n02788148 	 a railing at the side of a staircase or balcony to prevent people from falling
n02790996 	 a bar to which heavy discs are attached at each end
n02791124 	 a large fixed adjustable chair in which barbers seat their customers
n02791270 	 a shop where men can get their hair cut
n02793495 	 an outlying farm building for storing grain or animal feed and housing farm animals
n02794156 	 an instrument that measures atmospheric pressure
n02795169 	 a cylindrical container that holds liquids
n02797295 	 a cart for carrying small loads
n02799071 	 a ball used in playing baseball
n02802426 	 an inflated ball used in playing basketball
n02804414 	 a basket (usually hooded) used as a baby's bed
n02804610 	 a double-reed instrument
n02807133 	 a tight-fitting cap that keeps hair dry while swimming
n02808304 	 a large towel
n02808440 	 a relatively large open container that you fill with water and use to wash the body
n02814533 	 a car that has a long body and rear door with space behind rear seat
n02814860 	 a tower with a light that gives warning of shoals to passing ships
n02815834 	 a flatbottomed jar made of glass or plastic
n02817516 	 tall hat
n02823428 	 a bottle that holds beer
n02823750 	 a relatively large glass for serving beer
n02825657 	 a small shelter for bells
n02834397 	 top part of an apron
n02835271 	 a bicycle with two sets of pedals and two seats
n02837789 	 a woman's very brief bathing suit
n02840245 	 holds loose papers or magazines
n02841315 	 an optical instrument designed for simultaneous use by both eyes
n02843684 	 a shelter for birds
n02859443 	 a shed at the edge of a river or lake
n02860847 	 a long racing sled (for 2 or more people) with a steering mechanism
n02865351 	 a cord fastened around the neck with an ornamental clasp and worn as a necktie
n02869837 	 a hat tied under the chin
n02870880 	 a piece of furniture with shelves for storing books
n02871525 	 a shop where books are sold
n02877765 	 a cap that seals a bottle
n02879718 	 a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow
n02883205 	 a man's tie that ties in a bow
n02892201 	 a memorial made of brass
n02892767 	 an undergarment worn by women to support their breasts
n02894605 	 a protective structure of stone or concrete
n02895154 	 armor plate that protects the chest
n02906734 	 a cleaning implement for sweeping
n02909870 	 a roughly cylindrical vessel that is open at the top
n02910353 	 fastener that fastens together two ends of a belt or strap
n02916936 	 a vest capable of resisting the impact of a bullet
n02917067 	 a high-speed passenger train
n02927161 	 a shop in which meat and poultry (and sometimes fish) are sold
n02930766 	 a car driven by a person whose job is to take passengers where they want to go in exchange for money
n02939185 	 a very large pot that is used for boiling
n02948072 	 stick of wax with a wick in the middle
n02950826 	 heavy gun fired from a tank
n02951358 	 small and light boat
n02951585 	 a device for cutting cans open
n02963159 	 knitted jacket that is fastened up the front with buttons or a zipper
n02965783 	 a mirror that the driver of a car can use
n02966193 	 a large, rotating machine with seats for children to ride or amusement
n02966687 	 a set of carpenter's tools
n02971356 	 a box made of cardboard
n02974003 	 a wheel that has a tire and rim and hubcap
n02977058 	 an unattended machine (outside some banks) that dispenses money when a personal coded card is used
n02978881 	 a container that holds a magnetic tape used for recording or playing sound or video
n02979186 	 electronic equipment for playing cassettes
n02980441 	 a large building formerly occupied by a ruler and fortified against attack
